creationTime,productSize,productColor,content
2019-09-01 16:12:54,全网通（8GB 128GB）,幻夜黑,速度快可是东西不齐，实体店都还送华为蓝牙音箱，在网上买的手机，我的耳机在哪里了呢
2019-06-18 23:52:01,全网通（8GB 128GB）,冰岛白,一直相信京东，头一次遇到第一次激活时间离实际购买使用时间相**个月的
2019-06-03 10:48:47,全网通（8GB 128GB）,幻夜黑,用着还可以。。。没有任何赠品。。。
2019-08-09 21:03:08,全网通（8GB 128GB）,幻夜黑,新手机掉漆，两千七买的，很不痛快，
2019-06-22 23:05:09,全网通（8GB 128GB）,冰岛白,手机挺好的，就是买了以后，第二天一看就送充电宝，不知道为啥我这没送，没有保价！
2019-06-11 09:20:47,全网通（8GB 128GB）,幻影蓝,刚入手，听筒掉漆，其他没问题
2019-07-02 20:39:15,全网通（8GB 128GB）,幻影蓝,照相就是渣，四摄有个屁用。
2019-06-21 23:36:45,全网通（8GB 128GB）,幻影蓝,耳机
2019-06-08 23:40:52,全网通（8GB 256GB）,幻夜黑,手机客服态度比较差，手机是好的，客服给零分。手机拍照很不错
2019-07-22 17:18:30,全网通（8GB 128GB）,幻夜黑,还行吧
2019-06-03 16:44:06,全网通（8GB 128GB）,幻夜黑,不用解释，京东快递哦，还说是高手呐，快递预期到达比实际迟了一天，同一天买得货，还没中通快
2019-06-11 13:37:05,全网通（8GB 128GB）,幻影蓝,手机还阔以，京东客服说，只要有评分就阔以了哈哈哈！
2019-06-21 14:48:18,全网通（8GB 128GB）,幻影蓝,手机挺好的，缺少配件，没有耳机?，还要单独购买耳机。
2019-08-24 23:23:09,全网通（8GB 256GB）,冰岛白,"其他目前还没有问题
今天下载和平精英发生数次屏幕爆闪情况
不知道是什么鬼"
2019-06-14 01:00:34,全网通（8GB 128GB）,幻影蓝,手机不错，快递员给我放快递超市，快递超市人员态度太恶劣。
2019-06-20 20:57:05,全网通（8GB 128GB）,幻影蓝,买来第一天就死机了一次&hellip;&hellip;&hellip;&hellip;
2019-08-01 23:22:34,全网通（8GB 128GB）,蓝水翡翠,支持荣耀～产品不错！各方面都很好！不满意是因为京东！京东@！！！无耻
